ax;ay;az;gx;gy;gz;t
1664;-3920;15076;-1792;424;-1703;55827
1624;-4396;14016;-1989;182;-795;55913
2108;-5232;15036;-1355;419;-106;55998
2012;-4972;14772;-626;123;105;56083
2064;-4956;14648;-285;352;151;56168
1884;-4788;14864;-442;259;117;56254
1816;-4968;14372;-630;9;247;56339
1772;-5200;14408;-914;-93;193;56424
1992;-5432;14656;-396;-167;237;56510
1860;-5532;14624;48;-9;462;56595
1892;-5464;14300;189;93;278;56680
1396;-5164;14476;-133;-87;172;56765
1980;-5108;14288;-315;-483;1026;56851
2380;-5668;14148;-876;155;1063;56936
1764;-5788;14564;-187;805;212;57021
1320;-5548;14624;280;192;767;57106
1500;-5396;14676;699;-19;938;57192
1612;-5168;14768;698;-139;878;57277
1644;-4800;14400;586;26;1031;57362
1640;-5220;14712;541;-191;850;57448
1900;-5348;14468;162;-349;811;57533
1812;-5144;14368;110;-289;745;57618
1768;-4916;14744;103;-102;251;57703
1592;-4500;14508;41;-9;200;57789
1820;-3648;13384;-1550;-16;240;57874
1524;-3052;8732;-18859;2242;1591;57959
1296;-15300;19164;-17499;2038;1775;58045
176;-13316;12320;4874;-1343;-339;58130
1076;-9768;11328;3977;-1537;526;58215
1416;-9044;12448;4123;-1765;1307;58300
1696;-8744;12908;2831;-1155;1035;58386
1748;-8280;12752;1969;-1385;1001;58471
1836;-7584;13508;2267;-1176;1026;58556
1832;-6928;13304;1922;-878;1417;58642
2112;-7296;13028;487;-643;1362;58727
2300;-7684;13900;-77;-369;472;58812
2368;-7316;13872;566;-374;261;58897
2500;-7320;13656;669;40;72;58983
2504;-7024;13896;1017;566;-294;59068
2108;-6948;13768;1070;1328;-1171;59153
1600;-6244;13972;763;1051;-969;59239
1556;-6548;13996;571;706;-43;59324
1572;-6716;14256;1276;844;-575;59409
1256;-5772;14124;1312;387;-565;59494
1488;-4112;10924;-3311;49;345;59580
2040;-4344;9268;-21999;2104;821;59665
464;-17328;16632;2702;326;-48;59750
1048;-9368;11100;3185;-1203;152;59835
1416;-9112;12008;3159;-594;432;59921
1528;-8928;12792;2449;-429;677;60006
1128;-8784;13232;2163;-462;225;60091
1436;-8152;13952;2426;-599;-56;60177
1960;-6960;13608;2978;-853;12;60262
1872;-6140;13020;1373;-504;811;60347
2192;-7344;13624;282;11;-237;60432
2260;-7136;14204;594;454;-1172;60518
1876;-6272;13960;1003;619;-531;60603
2152;-6164;13972;626;635;-136;60688
1884;-6400;14060;296;1245;-766;60774
1412;-6308;14340;299;1021;-829;60859
1528;-5980;13852;151;316;29;60944
1276;-6292;14392;147;290;49;61029
1368;-6304;14224;199;93;-58;61115
1244;-5864;14208;-206;-346;175;61200
1620;-6452;14332;-32;-101;135;61285
1668;-6164;14236;421;-388;377;61371
1804;-5648;13780;132;-335;311;61456
1888;-2508;8420;-10561;857;1481;61541
1656;-11968;12644;-22928;3774;1163;61626
244;-15960;13876;3987;-486;-1526;61712
996;-10088;10500;5199;-1649;-752;61797
1492;-8936;11292;3744;-943;618;61882
1636;-9316;12668;2690;-108;871;61968
1428;-8740;13180;2753;-330;388;62053
1928;-7592;13728;3063;-779;151;62138
1852;-6872;13336;2529;-568;197;62223
1800;-6848;12944;1076;-289;149;62309
2040;-7120;13688;-92;-22;-139;62394
1964;-7384;14128;323;-34;-38;62479
2352;-7152;13796;950;207;-237;62564
1996;-6932;13940;1085;597;-681;62650
2124;-6540;13776;626;651;-616;62735
1912;-6656;14080;374;812;-713;62820
1584;-6096;14300;576;725;-670;62906
1504;-5652;14316;-109;326;-252;62991
1820;-6228;13860;-701;-369;-126;63076
2068;-6772;13896;-916;-252;47;63161
2116;-6872;14160;-405;137;-215;63247
2100;-6812;14116;92;238;-452;63332
2068;-6512;21336;9390;443;-1231;63417
1700;-3452;13080;16069;-1154;437;63503
2564;-556;11036;3506;-133;-100;63588
2492;-984;14316;-4210;573;93;63673
2384;-2328;15892;-5238;474;-1078;63758
2020;-3008;14436;-5348;923;-1689;63844
1872;-3880;14948;-3778;914;-1999;63929
1600;-4436;14852;-2240;919;-1478;64014
1664;-5300;14800;-2298;672;-718;64100
1748;-5584;15160;-1327;209;-560;64185
1760;-5316;14776;-253;31;-91;64270
1844;-4964;14232;-430;93;376;64355
1880;-5436;14060;-410;355;97;64441
1540;-5580;14344;-659;299;-80;64526
1588;-5664;14584;-777;187;167;64611
1716;-5868;14612;-419;37;301;64697
1796;-5888;14368;18;207;305;64782
1844;-5856;13960;195;159;83;64867
1484;-5588;14624;-91;270;-248;64952
1788;-5664;14564;253;96;302;65038
1644;-5652;14552;471;51;228;65123
1696;-5464;17092;3537;496;235;65208
1100;-8492;14804;32767;-444;2449;65293
2016;3652;10620;2389;1676;1653;65379
1688;2176;13408;-4278;1147;0;65464
